2023-03-29 09:57:34,739  INFO [main] - Start cleanup annotation of documents ...
2023-03-29 09:57:48,884  INFO [main] - Total 2 annotation(s) removed from document 101922418, {06133672-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:48,951  INFO [main] - Total 3 annotation(s) removed from document 101978010, {06140F9A-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:48,999  INFO [main] - Total 3 annotation(s) removed from document 101978010, {D0AB1586-0200-CB67-B05D-AAC059053D6A}
2023-03-29 09:57:49,027  INFO [main] - Total 1 annotation(s) removed from document 101978013, {06140F9D-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:49,049  INFO [main] - Total 1 annotation(s) removed from document 101978013, {D0AB1586-0300-C15C-879B-7567FEA7C461}
2023-03-29 09:57:49,140  INFO [main] - Total 1 annotation(s) removed from document 101978028, {06140FAC-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:49,165  INFO [main] - Total 1 annotation(s) removed from document 101978028, {D0AB1586-0700-CC73-9D24-79D50179E678}
2023-03-29 09:57:49,199  INFO [main] - Total 1 annotation(s) removed from document 101978049, {06140FC1-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:49,221  INFO [main] - Total 1 annotation(s) removed from document 101978049, {E0AB1586-0000-C481-A8DC-7A4880BF6DA9}
2023-03-29 09:57:49,357  INFO [main] - Total 5 annotation(s) removed from document 101998117, {06145E25-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:49,489  INFO [main] - Total 5 annotation(s) removed from document 101998117, {C0BB1586-0600-C320-9666-FD41BE887C19}
2023-03-29 09:57:49,516  INFO [main] - Total 1 annotation(s) removed from document 102393621, {703B1586-0700-C811-8347-1E948D1A0F6A}
2023-03-29 09:57:49,549  INFO [main] - Total 1 annotation(s) removed from document 102393621, {061A6715-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:49,584  INFO [main] - Total 1 annotation(s) removed from document 102649751, {061E4F97-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:49,609  INFO [main] - Total 1 annotation(s) removed from document 102649751, {C0271586-0400-C7DA-8292-407ADC35D9DD}
2023-03-29 09:57:49,735  INFO [main] - Total 2 annotation(s) removed from document 102816964, {0620DCC4-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:49,769  INFO [main] - Total 2 annotation(s) removed from document 102816964, {C0C21586-0200-CC5E-8F10-3C9C365B0435}
2023-03-29 09:57:49,805  INFO [main] - Total 1 annotation(s) removed from document 102857689, {06217BD9-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:49,826  INFO [main] - Total 1 annotation(s) removed from document 102857689, {40E31586-0B00-C429-B70B-AF0C49BCD0AC}
2023-03-29 09:57:49,879  INFO [main] - Total 2 annotation(s) removed from document 102868296, {0621A548-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:49,915  INFO [main] - Total 2 annotation(s) removed from document 102868296, {90EA1586-0C00-C7E9-A3FE-7E915F673703}
2023-03-29 09:57:49,987  INFO [main] - Total 3 annotation(s) removed from document 103068101, {0624B1C5-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:50,031  INFO [main] - Total 3 annotation(s) removed from document 103068101, {10B01586-0B00-C62C-ACC4-6BF41D9D628B}
2023-03-29 09:57:50,104  INFO [main] - Total 2 annotation(s) removed from document 103166865, {06263391-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:50,144  INFO [main] - Total 2 annotation(s) removed from document 103166865, {60011686-0400-C048-A933-70D3948A225F}
2023-03-29 09:57:50,209  INFO [main] - Total 1 annotation(s) removed from document 103253064, {E0571586-0600-C451-ADD3-65FCBAC8A4A2}
2023-03-29 09:57:50,238  INFO [main] - Total 1 annotation(s) removed from document 103253064, {06278448-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:50,359  INFO [main] - Total 5 annotation(s) removed from document 103333316, {E09C1586-0200-CF70-A5A8-8B37D7568919}
2023-03-29 09:57:50,468  INFO [main] - Total 5 annotation(s) removed from document 103333316, {0628BDC4-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:50,703  INFO [main] - Total 5 annotation(s) removed from document 103333742, {0628BF6E-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:50,786  INFO [main] - Total 5 annotation(s) removed from document 103333742, {409D1586-0500-C353-9974-E340CB354B7D}
2023-03-29 09:57:50,836  INFO [main] - Total 2 annotation(s) removed from document 103436055, {062A4F17-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:50,864  INFO [main] - Total 2 annotation(s) removed from document 103436055, {C0EE1586-0B00-CC65-A48D-2CB7E5C4CB66}
2023-03-29 09:57:50,936  INFO [main] - Total 4 annotation(s) removed from document 103436060, {062A4F1C-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:50,987  INFO [main] - Total 4 annotation(s) removed from document 103436060, {C0EE1586-0C00-C6DA-B396-6877C7281C2D}
2023-03-29 09:57:51,020  INFO [main] - Total 1 annotation(s) removed from document 103447619, {062A7C43-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:51,039  INFO [main] - Total 1 annotation(s) removed from document 103447619, {50F81586-0200-C5E4-98C7-AA75448F3FF1}
2023-03-29 09:57:51,095  INFO [main] - Total 3 annotation(s) removed from document 103586715, {C08B1586-0400-CA1B-B215-3F98388C250D}
2023-03-29 09:57:51,206  INFO [main] - Total 3 annotation(s) removed from document 103586715, {062C9B9B-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:51,434  INFO [main] - Total 6 annotation(s) removed from document 103596997, {062CC3C5-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:51,572  INFO [main] - Total 6 annotation(s) removed from document 103596997, {80941586-0400-CE1D-843D-9E693FE335B6}
2023-03-29 09:57:51,605  INFO [main] - Total 2 annotation(s) removed from document 103600051, {D0961586-0300-C55E-A300-FB049CBB0BBC}
2023-03-29 09:57:51,860  INFO [main] - Total 2 annotation(s) removed from document 103600051, {062CCFB3-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:51,896  INFO [main] - Total 1 annotation(s) removed from document 103679382, {062E0596-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:51,921  INFO [main] - Total 1 annotation(s) removed from document 103679382, {B0D41586-0500-C828-82E5-B2BD80EFD9E9}
2023-03-29 09:57:51,996  INFO [main] - Total 2 annotation(s) removed from document 103978321, {06329551-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:52,043  INFO [main] - Total 2 annotation(s) removed from document 103978321, {60E41586-0200-C9B8-9661-4FFABEDC6C9F}
2023-03-29 09:57:52,120  INFO [main] - Total 5 annotation(s) removed from document 104121733, {107F1586-0600-CC28-99ED-E8B8FDAC0DE5}
2023-03-29 09:57:52,312  INFO [main] - Total 5 annotation(s) removed from document 104121733, {0634C585-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:52,377  INFO [main] - Total 2 annotation(s) removed from document 104196584, {0635E9E8-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:52,424  INFO [main] - Total 2 annotation(s) removed from document 104196584, {90BB1586-0900-C2C0-9999-95D7E418933F}
2023-03-29 09:57:52,482  INFO [main] - Total 1 annotation(s) removed from document 104596642, {063C04A2-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:52,502  INFO [main] - Total 1 annotation(s) removed from document 104596642, {10791186-0900-CCD0-94A7-00035CAB62F0}
2023-03-29 09:57:52,571  INFO [main] - Total 2 annotation(s) removed from document 104596644, {063C04A4-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:52,603  INFO [main] - Total 2 annotation(s) removed from document 104596644, {10791186-0A00-C6B3-8650-28F9AF58FD7D}
2023-03-29 09:57:52,704  INFO [main] - Total 5 annotation(s) removed from document 104722325, {063DEF95-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:52,832  INFO [main] - Total 5 annotation(s) removed from document 104722325, {90D31186-0900-C68A-BB28-BA0D8F940E51}
2023-03-29 09:57:52,884  INFO [main] - Total 2 annotation(s) removed from document 104802879, {063F2A3F-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:52,923  INFO [main] - Total 2 annotation(s) removed from document 104802879, {200E1286-0200-C35F-A545-A69E3D82BEB2}
2023-03-29 09:57:52,978  INFO [main] - Total 2 annotation(s) removed from document 104925123, {064107C3-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:53,015  INFO [main] - Total 2 annotation(s) removed from document 104925123, {60951186-0600-CF79-9A7B-DA5A253B04C1}
2023-03-29 09:57:53,047  INFO [main] - Total 1 annotation(s) removed from document 105363228, {0647B71C-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:53,066  INFO [main] - Total 1 annotation(s) removed from document 105363228, {A0FF1186-0A00-C3F4-AB6E-C208DDD81B7B}
2023-03-29 09:57:53,104  INFO [main] - Total 2 annotation(s) removed from document 105432699, {80321286-0400-CC90-91D7-FE1A911C9F35}
2023-03-29 09:57:53,161  INFO [main] - Total 2 annotation(s) removed from document 105432699, {0648C67B-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:53,250  INFO [main] - Total 2 annotation(s) removed from document 105575235, {30BF1186-0600-C34B-916D-B1AD43BB2593}
2023-03-29 09:57:53,361  INFO [main] - Total 2 annotation(s) removed from document 105575235, {064AF343-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:53,386  INFO [main] - Total 1 annotation(s) removed from document 105876758, {90BD1186-0600-C8B3-B500-50E87708E984}
2023-03-29 09:57:53,414  INFO [main] - Total 1 annotation(s) removed from document 105876758, {064F8D16-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:53,548  INFO [main] - Total 9 annotation(s) removed from document 106014442, {C0251286-0500-C2BC-A771-44FE07A1CDBE}
2023-03-29 09:57:53,711  INFO [main] - Total 9 annotation(s) removed from document 106014442, {0651A6EA-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:53,738  INFO [main] - Total 1 annotation(s) removed from document 106028778, {902F1286-0600-CE16-9159-C352877A30E2}
2023-03-29 09:57:53,767  INFO [main] - Total 1 annotation(s) removed from document 106028778, {0651DEEA-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:53,952  INFO [main] - Total 11 annotation(s) removed from document 106103075, {70961186-0600-C361-88B3-7C506D5E2C32}
